t,theta,omega,drive_force_c
28.43,1.8208892165614528,-0.8913959084353159,0.9444444444444444
28.44,1.8118823946370768,-0.909968206609396,0.9444444444444444
28.45,1.8026898635161794,-0.9285373682628674,0.9444444444444444
28.46,1.793311661024961,-0.9471020784451091,0.9444444444444444
28.47,1.7837478391024435,-0.965660970688802,0.9444444444444444
28.48,1.773998463800444,-0.9842126270099816,0.9444444444444444
28.490000000000002,1.7640636152835982,-1.002755577907992,0.9444444444444444
28.5,1.7539433878293504,-1.0212883023655048,0.9444444444444444
28.51,1.7436378902157146,-1.0398092271753996,0.9444444444444444
28.52,1.7331472494943558,-1.0583167202070085,0.9444444444444444
28.53,1.7224716073454205,-1.0768090965845365,0.9444444444444444
28.54,1.7116111231376399,-1.0952846137205263,0.9444444444444444
28.55,1.7005659749635245,-1.1137414695572634,0.9444444444444444
28.560000000000002,1.6893363596393896,-1.1321778025667295,0.9444444444444444
28.57,1.677922492705345,-1.1505916917506236,0.9444444444444444
28.580000000000002,1.6663246084252825,-1.1689811566403798,0.9444444444444444
28.59,1.654542959801347,-1.1873441572813273,0.9444444444444444
28.6,1.6425778221491616,-1.2056785900584426,0.9444444444444444
28.61,1.630429491753625,-1.223982288487858,0.9444444444444444
28.62,1.6180982861573865,-1.2422530235856686,0.9444444444444444
28.63,1.6055845467660363,-1.2604885012133227,0.9444444444444444
28.64,1.5928886388480712,-1.2786863620776738,0.9444444444444444
28.650000000000002,1.580010951534925,-1.2968441817309357,0.9444444444444444
28.66,1.5669518978209556,-1.3149594705707015,0.9444444444444444
28.67,1.553711914563431,-1.333029673839963,0.9444444444444444
28.68,1.5402914650601653,-1.351052170488777,0.9444444444444444
28.69,1.5266910402684912,-1.3690242713437264,0.9444444444444444
28.7,1.5129111568516724,-1.3869432207843049,0.9444444444444444
28.71,1.498952360647402,-1.404806196201433,0.9444444444444444
28.72,1.4848152266935344,-1.4226103079896557,0.9444444444444444
28.73,1.470500359228045,-1.440352599547193,0.9444444444444444
28.740000000000002,1.4560083916890671,-1.4580300472758974,0.9444444444444444
28.75,1.4413399867148748,-1.4756395605812698,0.9444444444444444
28.76,1.426495838926751,-1.4931779831615242,0.9444444444444444
28.77,1.4114766755951258,-1.510642091121506,0.9444444444444444
28.78,1.396283255526723,-1.5280285942203435,0.9444444444444444
28.79,1.3809163718572102,-1.5453341386388397,0.9444444444444444
28.8,1.3653768520534981,-1.5625553069811962,0.9444444444444444
28.810000000000002,1.349665557913779,-1.579688618274971,0.9444444444444444
28.82,1.3337833855675112,-1.596730527971097,0.9444444444444444
28.830000000000002,1.3177312656459446,-1.6136774282974982,0.9444444444444444
28.84,1.3015101668706357,-1.630525653815913,0.9444444444444444
28.85,1.2851210942548206,-1.6472714753224382,0.9444444444444444
